===============================================================================
Id,MA,len,datetime,open,high,low,close,volume,openinterest,signal,StrategyClass,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,MA,1,2022-02-15 00:00:00,8905.0,8905.0,8670.0,8715.0,1131199.0,,0.4517386954919752,StrategyClass,1,738201.0,Broker,1,100000.0,100000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,MA,2,2022-02-16 00:00:00,8670.0,8837.0,8620.0,8771.0,861653.0,,0.4616397333073553,StrategyClass,2,738202.0,Broker,2,100000.0,100000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,MA,3,2022-02-17 00:00:00,8780.0,8806.0,8460.0,8478.0,1040583.0,,0.4231486176150092,StrategyClass,3,738203.0,Broker,3,100000.0,100000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,MA,4,2022-02-18 00:00:00,8495.0,8685.0,8471.0,8650.0,872902.0,,0.4665345179623971,StrategyClass,4,738204.0,Broker,4,100000.0,100000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,MA,5,2022-02-21 00:00:00,8608.0,8633.0,8464.0,8587.0,877700.0,,0.46073360149370957,StrategyClass,5,738207.0,Broker,5,100000.0,100000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,MA,6,2022-02-22 00:00:00,8590.0,8723.0,8510.0,8510.0,955211.0,,0.4416835798306509,StrategyClass,6,738208.0,Broker,6,100000.0,100000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,MA,7,2022-02-23 00:00:00,8500.0,8612.0,8480.0,8543.0,754421.0,,0.4693275826224509,StrategyClass,7,738209.0,Broker,7,87099.79999999999,87099.9,BuySell,7,,8741.179999999998,Trades - Net Profit/Loss,7,,
8,MA,8,2022-02-24 00:00:00,8555.0,8647.0,8490.0,8566.0,1128711.0,,0.4840342261048292,StrategyClass,8,738210.0,Broker,8,83499.79999999999,83499.79999999999,BuySell,8,8362.65,,Trades - Net Profit/Loss,8,,-16500.2
9,MA,9,2022-02-25 00:00:00,8623.0,8685.0,8405.0,8501.0,1300353.0,,0.45585552779277516,StrategyClass,9,738211.0,Broker,9,120099.59999999998,120099.69999999998,BuySell,9,,8815.275,Trades - Net Profit/Loss,9,,
10,MA,10,2022-02-28 00:00:00,8478.0,8629.0,8463.0,8534.0,861309.0,,0.4684675325913829,StrategyClass,10,738214.0,Broker,10,110199.59999999998,110199.69999999998,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,MA,11,2022-03-01 00:00:00,8534.0,8667.0,8493.0,8663.0,855555.0,,0.49664445867904683,StrategyClass,11,738215.0,Broker,11,71499.59999999998,71499.69999999998,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,MA,12,2022-03-02 00:00:00,8742.0,9018.0,8713.0,8922.0,1085554.0,,0.4956465554316221,StrategyClass,12,738216.0,Broker,12,47799.59999999998,47799.59999999998,BuySell,12,8582.305,,Trades - Net Profit/Loss,12,,-35700.2
13,MA,13,2022-03-03 00:00:00,8930.0,9047.0,8803.0,9027.0,1012955.0,,0.49493786918403765,StrategyClass,13,738217.0,Broker,13,18699.39999999998,18699.499999999978,BuySell,13,,9182.705,Trades - Net Profit/Loss,13,,
14,MA,14,2022-03-04 00:00:00,9020.0,9066.0,8834.0,8931.0,918691.0,,0.5001922817945563,StrategyClass,14,738218.0,Broker,14,20799.39999999998,20799.39999999998,BuySell,14,8701.49,,Trades - Net Profit/Loss,14,,-27000.2
15,MA,15,2022-03-07 00:00:00,8959.0,9268.0,8935.0,9176.0,1011433.0,,0.5023462174847487,StrategyClass,15,738221.0,Broker,15,20799.39999999998,20799.39999999998,BuySell,15,,,Trades - Net Profit/Loss,15,,
